Ubicación Tecnica	Descripción
PRFSDU		DUCHAS EMERGENCIA
PRFSDU01	DUCHA EMERG TURBOBOMBA 1 ALIMENTACION C5
PRFSDU02	DUCHA EMERG 2DO PISO PRECIPITADORES C5
PRFSDU03	DUCHA EMERG 1ER PISO CALDERA 5
PRFSDU04	DUCHA EMERG QUEMADORES CALDERA 4
PRFSDU05	DUCHA EMERG SOTANO CALDERA 5
PRFSDU06	DUCHA EMERG 5TO PISO CALDERA 5
PRFSDU07	DUCHA EMERGENCIA CABEZAL 250 PSI
PRFSE7		ESTACION DE LLENADO DE CRUDO
PRFSE701	EST.BBA LLENADO
PRFSE702	EST.BBA LLENADO
PRFSE703	EST.BBA TRANSF
PRFSE704	EST.BBA TRANSF.
PRFSED		EDIFICIOS
PRFSED01	EDIFICIO PLANTA VAPOR
PRFSED10	CABEZAL 600 PSI
PRFSED11	CABEZAL 250 PSI               
PRFSED12	CABEZAL 80 PSI                
PRFSM1		TURBINA MOLINO 1
PRFSM101	TURBINA MOLINO 1              
PRFSM103	BBA1 LUB TUR M1               
PRFSM104	BBA2 LUB TUR M1               
PRFSM105	BBA1 RECUPERACION CONDENSADOM1
PRFSM106	BBA2 RECUPERACION CONDENSADOM1
PRFSM4		TURBINA MOLINO 4
PRFSM401	TURBINA MOLINO4               
PRFSM402	BBA 2 AYX LUBRICACION
PRFSM403	BBA 1 RECUPERACION CONDENSADO
PRFSM404	BBA 2 RECUPERACION CONDENSADO
PRFSM6		RECUPERACION CONDENSADO MOLINO 6
PRFSM601	BBA 1 RECUPERACION CONDENSADO
PRFSM602	BBA 2 RECUPERACION CONDENSADO
PRFSMS		SISTEMA I/A
PRFSMS01	A.A. 1 SMS  
PRFSMS03	A.A. 2 SMS  
PRFSMS05	TABLERO A SMS                 
PRFSMS07	TABLERO B SMS                 
PRFSMSC1	SISTEMA I/A
PRFSPR		PRECIPITADORES
PRFSPR01	DAMPER CAMARA A
PRFSPR03	DAMPER CAMARA B
PRFSPR09	COMPUER TIRO C5
PRFSPR15	VENTILADOR DE SELL C5
PRFSPR17	PRECIPITADOR CAMARA A
PRFSPR19	PRECIPITADOR CAMARA B
PRFSPR21	VENTILADOR 1 SISTEMA DE PURGA
PRFSPR22	VENT 2 SISTEMA DE PURGA
PRFSPR23	SISTEMA SMOOT No.1
PRFSPR25	SISTEMA SMOOT No.2
PRFSPR27	SISTEMA SMOOT No.3
PRFSPR29	SISTEMA SMOOT No.4
PRFSPR31	SISTEMA SMOOT No.5
PRFSPR33	SISTEMA SMOOT No.6
PRFSPR35	SISTEMA SMOOT No.7
PRFSPR37	SISTEMA SMOOT No.8
PRFSPR39	CONVEYOR FLY-ASH
PRFSPR41	EXTRACTO SILO FLY-ASH
PRFSPR43	ALUMBRADO PRECIPITADORES
PRFSPR44	TANQUE PULMON AIRE SISTEMA SMOOT
PRFSPR45	SISTEMA SMOOT
PRFSPR47	TRAFO RECTIFICADOR 1 CAMARA AB
PRFSPR49	TRAFO RECTIFICADOR 2 CAMARA AB
PRFSPR51	TRAFO RECTIFICADOR 3 CAMARA A
PRFSPR53	TRAFO RECTIFICADOR 4 CAMARA B
PRFSPR55	TRAFO RECTIFICADOR 5 CAMARA A
PRFSPR57	TRAFO RECTIFICADOR 6 CAMARA B
PRFSPR59	RAPPERS CAMARA A
PRFSPR61	RAPPERS CAMARA B
PRFSPR63	CALENTENTADOR SISTEMA DE PURGA
PRFSPR65	RESISTENCIA CAL1 CAMARA A
PRFSPR67	RESISTENCIA CAL2 CAMARA A
